"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @CRANberriesFeed: New CRAN package MSBVAR with initial version 0.9-0 http://t.co/0QdYpkOpae #rstats",FALSE,0,NA,2014-06-02 07:27:09,FALSE,NA,"473365186947330048",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","DiffusePrioR",1,TRUE,FALSE,NA,NA
"2","RT @KirkDBorne: Build your own Recommendation Engine using R: http://t.co/hhHP35PUDo #Rstats #DataScience #BigData #Analytics #RecSys http:…",FALSE,0,NA,2014-06-02 06:45:57,FALSE,NA,"473354815956086784",NA,"<a href=""http://www.flipboard.com"" rel=""nofollow"">Flipboard</a>","kuznetsovin",15,TRUE,FALSE,NA,NA
"3","RT @NERSC: You can now do multidimensional #image #processing &amp; #analysis in R thx @LBNLcs T. Perciano http://t.co/m2Z4equcrn #rstats @Berk…",FALSE,0,NA,2014-06-02 06:32:07,FALSE,NA,"473351337019592704",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","plinytheelder_t",1,TRUE,FALSE,NA,NA
"4","RT @KirkDBorne: &gt; @gopivotal introduces R for #BigData with PivotalR: http://t.co/flmv3GHxaH #Rstats #DataScience #Analytics http://t.co/if…",FALSE,0,NA,2014-06-02 06:07:08,FALSE,NA,"473345049376620544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MikePearmain",14,TRUE,FALSE,NA,NA
"5","RT @Bioconductor: BioC2014 #rstats / #Bioconductor annual conference July 30-Aug 1, Boston https://t.co/Afdv2lhOJ3",FALSE,0,NA,2014-06-02 06:02:30,FALSE,NA,"473343881996931072",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hrhotz",5,TRUE,FALSE,NA,NA
"6","Two Million #Regressions an Hour - via @ThomasintVeld @BrightNorth  http://t.co/Be502qhTWh #Rstats",FALSE,0,NA,2014-06-02 06:00:53,FALSE,NA,"473343474218303488",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","BrightNorth",0,FALSE,FALSE,NA,NA
"7","RT @Bioconductor: BioC2014 #rstats / #Bioconductor annual conference July 30-Aug 1, Boston https://t.co/Afdv2lhOJ3",FALSE,0,NA,2014-06-02 05:39:58,FALSE,NA,"473338210203238400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","robertclab",5,TRUE,FALSE,NA,NA
"8","RT @Bioconductor: BioC2014 #rstats / #Bioconductor annual conference July 30-Aug 1, Boston https://t.co/Afdv2lhOJ3",FALSE,0,NA,2014-06-02 05:37:57,FALSE,NA,"473337702126215168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","markrobinsonca",5,TRUE,FALSE,NA,NA
"9","ExpDes - Experimental Designs package http://t.co/AgeHr2m8W4 #RStats",FALSE,0,NA,2014-06-02 05:30:02,FALSE,NA,"473335712306446336",NA,"<a href=""https://twitter.com/DailyRpackage"" rel=""nofollow"">DailyRpackage</a>","DailyRpackage",0,FALSE,FALSE,NA,NA
"10","RT @KirkDBorne: &gt; @gopivotal introduces R for #BigData with PivotalR: http://t.co/flmv3GHxaH #Rstats #DataScience #Analytics http://t.co/if…",FALSE,0,NA,2014-06-02 05:26:26,FALSE,NA,"473334805539876864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","paulpeton",14,TRUE,FALSE,NA,NA
"11","RT @kdnuggets: Tutorial: Step-by-Step Guide to Setting Up an R - #Hadoop System #rstats http://t.co/v8nfzyqNhu",FALSE,0,"kdnuggets",2014-06-02 05:22:13,FALSE,"472434455848972288","473333745593122817","20167623","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Soc_Net_Intel",0,FALSE,FALSE,NA,NA
"12","RT @R_Programming: R Programming beginners course - Practice Exercise 3 added http://t.co/GxkKJ4RsQA
#rstats #course #DataScience  #bigdata",FALSE,0,NA,2014-06-02 05:01:52,FALSE,NA,"473328622015500288",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","theoneamit",1,TRUE,FALSE,NA,NA
"13","R Programming beginners course - Practice Exercise 3 added http://t.co/GxkKJ4RsQA
#rstats #course #DataScience  #bigdata",FALSE,3,NA,2014-06-02 04:39:24,FALSE,NA,"473322967925940225",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",1,FALSE,FALSE,NA,NA
